doi,doi_redirect_SC,error
10.1152/japplphysiol.00052.2022,200,
10.1152/japplphysiol.00754.2021,200,
10.1152/ajpregu.00192.2021,200,
10.1152/japplphysiol.00881.2020,200,
10.1152/japplphysiol.00421.2021,200,
10.1152/japplphysiol.01117.2020,200,
10.1152/japplphysiol.00506.2021,200,
10.1152/ajpregu.00198.2021,200,
10.1152/japplphysiol.00907.2020,200,
10.1152/ajpregu.00286.2020,200,
10.1152/japplphysiol.00058.2021,200,
10.1152/ajpregu.00312.2020,200,
10.1152/japplphysiol.00384.2020,200,
10.1152/ajpendo.00263.2020,200,
10.1152/japplphysiol.00512.2020,200,
10.1152/japplphysiol.00455.2020,200,
10.1152/ajpheart.00432.2020,200,
10.1152/japplphysiol.00478.2020,200,
10.1152/japplphysiol.00023.2019,200,"Message: Element <a class=""download list-button btn"" href=""/doi/pdf/10.1152/japplphysiol.00023.2019?download=true""> could not be scrolled into view
Stacktrace:
WebDriverError@chrome://remote/content/shared/webdriver/Errors.jsm:186:5
ElementNotInteractableError@chrome://remote/content/shared/webdriver/Errors.jsm:296:5
webdriverClickElement@chrome://remote/content/marionette/interaction.js:156:11
interaction.clickElement@chrome://remote/content/marionette/interaction.js:125:11
clickElement@chrome://remote/content/marionette/actors/MarionetteCommandsChild.jsm:203:24
receiveMessage@chrome://remote/content/marionette/actors/MarionetteCommandsChild.jsm:91:31
"
