doi_url,doi,doi_suffix,journal_name,publisher,subscribed,done,0
https://doi.org/10.3233/ch-141865,10.3233/ch-141865,ch-141865,Clinical Hemorheology and Microcirculation,IOS Press,FALSE,TRUE,
https://doi.org/10.1007/s00421-005-0089-1,10.1007/s00421-005-0089-1,s00421-005-0089-1,European Journal of Applied Physiology,Springer Science and Business Media LLC,TRUE,TRUE,
https://doi.org/10.52711/0974-360x.2021.01111,10.52711/0974-360x.2021.01111,0974-360x.2021.01111,Research Journal of Pharmacy and Technology,A and V Publications,FALSE,TRUE,
https://doi.org/10.5958/0974-360x.2017.00702.8,10.5958/0974-360x.2017.00702.8,0974-360x.2017.00702.8,Research Journal of Pharmacy and Technology,A and V Publications,FALSE,TRUE,
https://doi.org/10.5897/ajpp11.540,10.5897/ajpp11.540,ajpp11.540,African Journal of Pharmacy and Pharmacology,Academic Journals,FALSE,TRUE,
https://doi.org/10.21300/18.2-3.2016.159,10.21300/18.2-3.2016.159,18.2-3.2016.159,Technology & Innovation,Academy of Inventors,TRUE,TRUE,
https://doi.org/10.3727/194982413x13844488879050,10.3727/194982413x13844488879050,194982413x13844488879050,Technology & Innovation,Academy of Inventors,TRUE,TRUE,
https://doi.org/10.3357/amhp.4181.2015,10.3357/amhp.4181.2015,amhp.4181.2015,Aerospace Medicine and Human Performance,Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/amhp.4263.2015,10.3357/amhp.4263.2015,amhp.4263.2015,Aerospace Medicine and Human Performance,Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/amhp.4332.2015,10.3357/amhp.4332.2015,amhp.4332.2015,Aerospace Medicine and Human Performance,Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/amhp.4399.2016,10.3357/amhp.4399.2016,amhp.4399.2016,Aerospace Medicine and Human Performance,Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/amhp.4405.2016,10.3357/amhp.4405.2016,amhp.4405.2016,Aerospace Medicine and Human Performance,Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/amhp.4498.2016,10.3357/amhp.4498.2016,amhp.4498.2016,Aerospace Medicine and Human Performance,Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/amhp.4798.2017,10.3357/amhp.4798.2017,amhp.4798.2017,Aerospace Medicine and Human Performance,Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/amhp.4830.2017,10.3357/amhp.4830.2017,amhp.4830.2017,Aerospace Medicine and Human Performance,Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/amhp.5162.2018,10.3357/amhp.5162.2018,amhp.5162.2018,Aerospace Medicine and Human Performance,Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/amhp.5307.2019,10.3357/amhp.5307.2019,amhp.5307.2019,Aerospace Medicine and Human Performance,Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/amhp.5448.2020,10.3357/amhp.5448.2020,amhp.5448.2020,Aerospace Medicine and Human Performance,Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/amhp.5624.2020,10.3357/amhp.5624.2020,amhp.5624.2020,Aerospace Medicine and Human Performance,Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/asem.2693.2010,10.3357/asem.2693.2010,asem.2693.2010,"Aviation, Space, and Environmental Medicine",Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/asem.2724.2010,10.3357/asem.2724.2010,asem.2724.2010,"Aviation, Space, and Environmental Medicine",Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/asem.2893.2012,10.3357/asem.2893.2012,asem.2893.2012,"Aviation, Space, and Environmental Medicine",Aerospace Medical Association,FALSE,TRUE,
https://doi.org/10.3357/asem.3039.2011,10.3357/asem.3039.2011,asem.3039.2011,"Aviation, Space, and Environmental Medicine",Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/asem.3246.2012,10.3357/asem.3246.2012,asem.3246.2012,"Aviation, Space, and Environmental Medicine",Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/asem.3298.2012,10.3357/asem.3298.2012,asem.3298.2012,"Aviation, Space, and Environmental Medicine",Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/asem.3332.2012,10.3357/asem.3332.2012,asem.3332.2012,"Aviation, Space, and Environmental Medicine",Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/asem.3440.2013,10.3357/asem.3440.2013,asem.3440.2013,"Aviation, Space, and Environmental Medicine",Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/asem.3443.2013,10.3357/asem.3443.2013,asem.3443.2013,"Aviation, Space, and Environmental Medicine",Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/asem.3494.2013,10.3357/asem.3494.2013,asem.3494.2013,"Aviation, Space, and Environmental Medicine",Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/asem.3527.2014,10.3357/asem.3527.2014,asem.3527.2014,"Aviation, Space, and Environmental Medicine",Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/asem.3529.2013,10.3357/asem.3529.2013,asem.3529.2013,"Aviation, Space, and Environmental Medicine",Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.3357/asem.3552.2013,10.3357/asem.3552.2013,asem.3552.2013,"Aviation, Space, and Environmental Medicine",Aerospace Medical Association,TRUE,TRUE,
https://doi.org/10.36295/asro.2020.231429,10.36295/asro.2020.231429,asro.2020.231429,Annals of Tropical Medicine and Public Health,Africa Health Research Organization,FALSE,TRUE,
https://doi.org/10.1063/1.3391127,10.1063/1.3391127,1.3391127,Journal of Applied Physics,AIP Publishing,TRUE,TRUE,
https://doi.org/10.1016/s1873-9598(10)70028-4,10.1016/s1873-9598(10)70028-4,s1873-9598_._10_._70028-4,International Journal of Gerontology,"Airiti Press, Inc.",TRUE,TRUE,
https://doi.org/10.1556/aphysiol.100.2013.3.11,10.1556/aphysiol.100.2013.3.11,aphysiol.100.2013.3.11,Acta Physiologica Hungarica,Akademiai Kiado Zrt.,FALSE,TRUE,
https://doi.org/10.1556/aphysiol.100.2013.3.5,10.1556/aphysiol.100.2013.3.5,aphysiol.100.2013.3.5,Acta Physiologica Hungarica,Akademiai Kiado Zrt.,FALSE,TRUE,
https://doi.org/10.1556/aphysiol.101.2014.2.12,10.1556/aphysiol.101.2014.2.12,aphysiol.101.2014.2.12,Acta Physiologica Hungarica,Akademiai Kiado Zrt.,FALSE,TRUE,
https://doi.org/10.1556/aphysiol.101.2014.2.8,10.1556/aphysiol.101.2014.2.8,aphysiol.101.2014.2.8,Acta Physiologica Hungarica,Akademiai Kiado Zrt.,FALSE,TRUE,
https://doi.org/10.1556/aphysiol.101.2014.4.13,10.1556/aphysiol.101.2014.4.13,aphysiol.101.2014.4.13,Acta Physiologica Hungarica,Akademiai Kiado Zrt.,FALSE,TRUE,
https://doi.org/10.1556/aphysiol.91.2004.1.3,10.1556/aphysiol.91.2004.1.3,aphysiol.91.2004.1.3,Acta Physiologica Hungarica,Akademiai Kiado Zrt.,FALSE,TRUE,
https://doi.org/10.1556/aphysiol.94.2007.3.4,10.1556/aphysiol.94.2007.3.4,aphysiol.94.2007.3.4,Acta Physiologica Hungarica,Akademiai Kiado Zrt.,FALSE,TRUE,
https://doi.org/10.1556/aphysiol.96.2009.1.3,10.1556/aphysiol.96.2009.1.3,aphysiol.96.2009.1.3,Acta Physiologica Hungarica,Akademiai Kiado Zrt.,FALSE,TRUE,
https://doi.org/10.1556/aphysiol.96.2009.3.7,10.1556/aphysiol.96.2009.3.7,aphysiol.96.2009.3.7,Acta Physiologica Hungarica,Akademiai Kiado Zrt.,FALSE,TRUE,
https://doi.org/10.1556/aphysiol.96.2009.4.5,10.1556/aphysiol.96.2009.4.5,aphysiol.96.2009.4.5,Acta Physiologica Hungarica,Akademiai Kiado Zrt.,FALSE,TRUE,
https://doi.org/10.1556/aphysiol.96.2009.4.8,10.1556/aphysiol.96.2009.4.8,aphysiol.96.2009.4.8,Acta Physiologica Hungarica,Akademiai Kiado Zrt.,FALSE,TRUE,
