pmcid,pmid,doi
PMC1332222,7788223,10.1136/bjsm.29.1.66
PMC1756062,9562163,10.1136/bjsm.32.1.44
PMC3970734,24744857,10.1002/phy2.178
PMC4160293,24977468,10.1080/02640414.2014.915421
PMC4253596,25241180,10.1016/j.jpeds.2014.08.005
PMC6103506,30130362,10.1371/journal.pone.0201389
PMC6231343,30429899,10.1515/hukin-2017-0184
PMC6267712,30568518,10.2147/OAJSM.S183274
PMC6647242,31209572,10.1007/s00421-019-04175-w
PMC6655643,31339909,10.1371/journal.pone.0219741
PMC7483236,32149817,10.1097/PHM.0000000000001416
PMC7080849,32226393,10.3389/fphys.2020.00197
PMC8004550,32750964,10.1109/JBHI.2020.3009903
PMC7739818,33345112,10.3389/fspor.2020.549407
PMC6961513,32009690,10.1007/s10533-017-0326-9
PMC6475093,31118716,10.2147/DMSO.S197642
PMC5350167,28292885,10.14814/phy2.13149
PMC1892330,9470873,10.1136/hrt.78.6.572
PMC1756057,9562161,10.1136/bjsm.32.1.34
PMC1725201,15849289,10.1136/bjsm.2004.011668
PMC2664269,19060991,10.1590/S1807-59322008000600003
PMC3329968,21717119,10.1007/s00421-011-2054-5
PMC3873794,24379715,10.2147/OAJSM.S41706
PMC3871047,24379716,10.2147/OAJSM.S39206
PMC3884081,24422180,10.1186/2193-1801-2-688
PMC4314605,25729151,10.5604/20831862.1127283
PMC3846678,24004479,10.1186/2052-1847-5-18
PMC5100553,27877137,10.3389/fphys.2016.00530
PMC5260587,28149422,10.1515/hukin-2016-0021
PMC5413511,28515696,10.3389/fphys.2017.00270
PMC5940969,29740709,10.1186/s11671-018-2557-7
PMC3276766,21748369,10.1007/s00421-011-2063-4
PMC6394694,30627827,10.1007/s00421-019-04071-3
PMC6495266,31073291,10.3389/fphys.2019.00471
PMC6716506,31507453,10.3389/fphys.2019.01091
PMC6835599,31581750,10.3390/nu11102352
PMC6927354,31879575,10.7717/peerj.8222
PMC8290204,34295264,10.3389/fphys.2021.687566
PMC8336552,34400998,10.2478/hukin-2021-0071
PMC8464869,34574765,10.3390/ijerph18189843
PMC4529077,26252001,10.1371/journal.pone.0133785
PMC4905810,26659868,10.1002/mus.25015
PMC5473370,28263283,10.1249/MSS.0000000000001245
PMC5451924,28468260,10.3390/ijerph14050473
PMC6063213,30065859,10.7717/peerj.5219
PMC6316849,30287789,10.3390/sports6040111
PMC6503082,31114511,10.3389/fphys.2019.00506
PMC7842301,33659487,10.21769/BioProtoc.3838
PMC8120347,33773098,10.1002/ehf2.13275
PMC8834746,35162340,10.3390/ijerph19031317
PMC8963450,35360252,10.3389/fphys.2022.814056
PMC8346098,34360424,10.3390/ijerph18158135
PMC1756205,10522640,10.1136/bjsm.33.5.352
PMC1574285,16919541,10.1016/j.metabol.2006.05.005
PMC3015151,21218170,10.5232/ricyde2010.01805
PMC3426168,22653993,10.1152/japplphysiol.01416.2011
PMC3880282,24404156,10.1371/journal.pone.0084208
PMC3944563,24744486,10.5604/20831862.1059170
PMC4165298,25003546,10.1590/1414-431X20143713
PMC4206360,25352504,10.5935/abc.20140137
PMC4327362,25713672,10.2478/hukin-2014-0117
PMC4593812,26251510,10.1152/japplphysiol.00241.2015
PMC4678643,26666374,10.1186/s13063-015-1093-3
PMC4875052,27126859,10.1007/s00421-016-3379-x
PMC4842047,27144169,10.1155/2016/5481843
PMC5283936,27856415,10.1152/ajpregu.00381.2016
PMC5407081,28122720,10.1152/ajpregu.00399.2016
PMC5615216,29018351,10.3389/fphys.2017.00690
PMC5704082,29151442,10.14814/phy2.13506
PMC5937495,29760574,10.2147/OAJSM.S154630
PMC5969043,29910449,10.3390/sports5040089
PMC6257576,30431617,10.1097/MD.0000000000013296
PMC6360241,30714335,10.14814/phy2.13996
PMC6386358,30794571,10.1371/journal.pone.0211550
PMC6407754,30849105,10.1371/journal.pone.0213158
PMC6461012,31024334,10.3389/fphys.2019.00365
PMC7351960,31375458,10.1016/j.bjpt.2019.07.002
PMC6781613,31632295,10.3389/fphys.2019.01258
PMC6895242,31804565,10.1038/s41598-019-54912-6
PMC6989571,31925520,10.1007/s00421-020-04300-0
PMC7404478,32698464,10.3390/sports8070103
PMC7503696,32859029,10.3390/ijerph17176196
PMC7674321,32892320,10.1007/s00421-020-04487-2
PMC7697777,33187067,10.3390/ijerph17228324
PMC7739577,33344983,10.3389/fspor.2019.00060
PMC7804984,33418140,10.1016/j.redox.2020.101852
PMC7959460,33802492,10.3390/s21051748
PMC8010254,33815141,10.3389/fphys.2021.631637
PMC8008305,34168697,10.2478/hukin-2021-0016
PMC8345513,34360178,10.3390/ijerph18157886
PMC9028827,35453792,10.3390/biology11040593
PMC5917166,16680367,10.1100/tsw.2006.107
PMC2222609,18078520,10.1186/1475-2840-6-38
PMC4466107,25068750,10.2466/27.29.PMS.118k28w7
PMC4106190,25083347,10.7717/peerj.482
PMC3092926,21079989,10.1007/s00421-010-1719-9
PMC4319837,25659094,10.1371/journal.pone.0117563
PMC3283512,22176668,10.1186/1550-2783-8-24
PMC4820007,26874378,10.1016/j.jchf.2015.11.003
PMC5328776,28242825,10.14814/phy2.13145
PMC4484680,26131703,10.5935/abc.20150035
PMC6359420,30669424,10.3390/sports7010026
PMC6386265,30794568,10.1371/journal.pone.0211902
PMC6476626,31016244,10.1055/s-0039-1688438
PMC3588275,23476311,10.1107/S1600536812049884
PMC7967258,33803383,10.3390/ijerph18052782
PMC5733097,29311956,10.3389/fphys.2017.01018
PMC6014319,29942693,10.7717/peerj.5026
PMC6193706,30335836,10.1371/journal.pone.0205976
PMC3220574,21917928,10.1074/jbc.M111.292029
PMC3908867,24497913,10.1371/journal.pone.0081850
PMC8566874,34744777,10.3389/fphys.2021.737249
PMC6538037,30855563,10.3791/59277
PMC8229670,34073418,10.3390/sports9060075
PMC8461099,34566673,10.3389/fphys.2021.683942
PMC7118226,32292372,10.3389/fpsyg.2020.00545
PMC7902604,33623054,10.1038/s41598-021-83056-9
PMC8505378,34402986,10.1007/s00421-021-04783-5
PMC8535879,34682674,10.3390/ijerph182010928
PMC2290343,12042369,10.1113/jphysiol.2001.013462
PMC1914232,17277937,10.1007/s00421-007-0398-7
PMC3044560,21437452,10.1590/S1807-59322011000100026
PMC3110781,21687674,10.1371/journal.pone.0020797
PMC3236084,21921265,10.1161/CIRCRESAHA.111.253807
PMC7125548,21958985,10.1016/j.jcrc.2011.07.080
PMC4757485,22099762,10.1016/j.transproceed.2011.09.009
PMC3285806,22375123,10.3389/fphys.2012.00035
PMC3892474,24167223,10.1113/jphysiol.2013.262709
PMC4023418,24665133,10.1182/blood-2013-11-533406
PMC3988165,24736598,10.1371/journal.pone.0095025
PMC3944562,24744488,10.5604/20831862.1059211
PMC4192145,25379364,10.1186/2193-1801-2-651
PMC4470717,25585514,10.3109/09593985.2014.1003118
PMC4383510,25866778,10.1155/2015/378469
PMC4536895,26272327,10.1186/s12884-015-0607-z
PMC4721627,26834877,10.1515/hukin-2015-0095
PMC4783109,26953893,10.1371/journal.pone.0150799
PMC4971020,27536245,10.3389/fphys.2016.00326
PMC5104959,27891098,10.3389/fphys.2016.00536
PMC5110861,27982162,10.6061/clinics/2016(11)02
PMC5966771,29351462,10.1152/ajpheart.00435.2017
PMC5803184,29417745,10.14814/phy2.13601
PMC6040736,29995947,10.1371/journal.pone.0200354
PMC6053180,30024953,10.1371/journal.pone.0200701
PMC6095879,30115937,10.1038/s41598-018-29652-8
PMC6198139,30350405,10.14814/phy2.13888
PMC6189006,30356614,10.1016/j.jshs.2015.12.004
PMC6234148,30426722,10.14814/phy2.13916
PMC6239310,30444927,10.1371/journal.pone.0207573
PMC7250807,32232604,10.1007/s10484-020-09456-1
PMC7277742,32456306,10.3390/ijerph17103699
PMC7551790,32629923,10.3390/healthcare8030192
PMC8943710,33316435,10.1016/j.rehab.2020.101469
PMC7897453,33611843,10.14814/phy2.14760
PMC8037243,33915879,10.3390/s21072422
PMC8082830,33926400,10.1186/s12887-021-02681-5
PMC8371633,34421649,10.3389/fphys.2021.708172
PMC8431074,34501781,10.3390/ijerph18179193
PMC9002771,35406087,10.3390/nu14071475
PMC1756209,10597847,10.1136/bjsm.33.6.393
PMC1725296,16046334,10.1136/bjsm.2004.014068
PMC2909923,20609257,10.1186/1550-2783-7-26
PMC3017491,21214352,10.4085/1062-6050-46.1.61
PMC3418112,22488228,10.4085/1062-6050-47.1.32
PMC3748584,23542491,10.1016/j.scitotenv.2013.02.092
PMC4080944,24687585,10.1113/jphysiol.2014.273680
PMC3776790,24058684,10.1371/journal.pone.0075399
PMC4349455,25738290,10.1371/journal.pone.0118470
PMC4723161,26839613,10.1515/hukin-2015-0115
PMC4922262,27382471,10.1093/conphys/cow008
PMC5025384,27491778,10.1039/c6fo00611f
PMC5161655,27580151,10.1249/MSS.0000000000001074
PMC5115658,27861507,10.1371/journal.pone.0165310
PMC5137797,27903541,10.1161/CIRCIMAGING.116.005511
PMC3219105,22065766,10.1073/pnas.1105277108
PMC2491903,18698405,10.1371/journal.pone.0002943
PMC5641938,28989117,10.14814/phy2.13456
PMC6161438,30261892,10.1186/s12970-018-0251-x
PMC6321782,30269912,10.1016/j.echo.2018.08.008
PMC6424665,30482589,10.1016/j.aott.2018.10.006
PMC6312574,30496493,10.1093/eurheartj/ehy585
PMC6556026,31198580,10.1186/s40814-019-0459-9
PMC6831735,31736783,10.3389/fphys.2019.01362
PMC7246952,32375328,10.3390/ijerph17093190
PMC3836744,24278393,10.1371/journal.pone.0081181
PMC7674349,32918588,10.1007/s00421-020-04477-4
PMC7986635,33382213,10.1002/ajmg.a.62055
PMC7838537,33519521,10.3389/fphys.2020.616158
PMC4236747,25182209,10.1186/1471-2466-14-145
PMC8214186,34085945,10.2196/26006
PMC4359698,25793148,10.1186/s40064-015-0882-1
PMC8747858,35013810,10.1007/s00421-021-04843-w
PMC4923181,27445856,10.3389/fphys.2016.00268
PMC5321861,27989841,10.1016/j.neuroimage.2016.10.033
PMC5742706,29242309,10.14814/phy2.13546
PMC5738882,29296106,10.1186/s12970-017-0205-8
PMC6224098,30408073,10.1371/journal.pone.0206908
PMC6470682,30818782,10.3390/nu11030500
PMC7282232,32549776,10.2478/jomb-2019-0006
PMC7993012,33828918,10.7717/peerj.11095
PMC8222662,34179774,10.3389/fspor.2021.667564
PMC8551674,34721527,10.3389/fgene.2021.736876
PMC7038571,31545103,10.1089/g4h.2019.0001
PMC7027737,31755166,10.1111/sms.13603
PMC507146,8613554,10.1172/JCI118524
PMC1746915,15563700,10.1136/thx.2004.026617
PMC2547869,18833312,10.4085/1062-6050-43.5.489
PMC2978011,21062183,10.4085/1062-6050-45.6.594
PMC3204319,21782401,10.1016/j.numecd.2011.03.002
PMC3350981,22619715,10.1155/2012/589164
PMC3577454,23402493,10.1186/1550-2783-10-8
PMC3949066,24414070,10.1152/ajpheart.00901.2013
PMC4201545,25330388,10.1371/journal.pone.0110492
PMC4643918,26566220,10.1371/journal.pone.0143095
PMC4660653,26613045,10.1186/s13102-015-0023-8
PMC4922261,27382468,10.1093/conphys/cov060
PMC5494429,28336535,10.1152/japplphysiol.00514.2016
PMC5886548,29590260,10.1590/1414-431X20186964
PMC5929931,29744293,10.1002/2211-5463.12415
PMC7070090,32170165,10.1038/s42003-020-0853-0
PMC7303366,32595523,10.3389/fphys.2020.00629
PMC7828502,33451086,10.3390/ijerph18020638
PMC8064983,33598762,10.1007/s00421-021-04611-w
PMC7601858,33050174,10.3390/s20205733
PMC6651475,31261980,10.3390/ijerph16132316
PMC6032965,29509982,10.1113/EP086850
PMC5020445,27619491,10.1186/s12889-016-3652-2
PMC4468316,26136810,10.1155/2015/879272
PMC4083353,25002835,10.1186/1550-2783-11-34
PMC3994003,24752326,10.1371/journal.pone.0092088
PMC8101253,33957973,10.1186/s13102-021-00274-4
PMC1024458,1993127,10.1136/hrt.65.1.25
PMC1060502,9328540,10.1136/jech.51.4.365
PMC1724834,15155428,10.1136/bjsm.2002.002212
PMC1894813,17550617,10.1186/1479-5868-4-24
PMC2221872,18067677,10.1186/1550-2783-4-25
PMC4205105,19528334,10.1161/CIRCULATIONAHA.109.848382
PMC5417129,22282471,10.1210/me.2011-1274
PMC3346266,22566743,10.2147/VHRM.S30056
PMC3820235,24259887,10.1589/jpts.25.929
PMC4233250,25257877,10.1152/japplphysiol.00060.2014
PMC4324715,25398528,10.1113/jphysiol.2014.281873
PMC4426177,25952923,10.1186/s12890-015-0050-y
PMC4739349,26565690,10.1089/acm.2015.0082
PMC4767711,27026879,10.1186/s40064-016-1850-0
PMC5013725,27082723,10.1086/685435
PMC5012058,27600918,10.1186/s12883-016-0686-0
PMC5294746,28243471,10.1155/2017/7853034
PMC5645223,28640060,10.1249/MSS.0000000000001355
PMC5539230,28824440,10.3389/fphys.2017.00515
PMC5736537,29326602,10.3389/fphys.2017.01067
PMC5969038,29910457,10.3390/sports5040097
PMC6186156,30324018,10.7717/peerj.5719
PMC6842905,31365304,10.1152/ajpregu.00104.2019
PMC6765940,31533224,10.3390/ijerph16183445
PMC6876877,31765432,10.1371/journal.pone.0225803
PMC7350124,32719639,10.3389/fpsyg.2020.01438
PMC7463069,32913843,10.12965/jer.2040340.170
PMC7580004,33087145,10.1186/s12970-020-00379-0
PMC5800394,29132538,10.1016/j.metabol.2017.08.011
PMC7908534,33498274,10.3390/ijerph18030860
PMC7844325,33519511,10.3389/fphys.2020.607302
PMC7841072,33520942,10.3389/fchem.2020.626490
PMC8390693,34446761,10.1038/s41598-021-96569-0
PMC8592539,34591791,10.1172/JCI152911
PMC8697877,34944222,10.3390/ani11123445
PMC8993875,35396390,10.1038/s41598-022-09997-x
PMC9029104,35457989,10.3390/nano12081281
PMC483942,7662449,10.1136/hrt.74.1.27
PMC1025303,8398494,10.1136/hrt.70.3.241
PMC3480213,18001745,10.1016/j.chroma.2007.10.063
PMC2963322,20724560,10.1152/japplphysiol.00495.2010
PMC2727769,22477417,10.1055/s-0031-1278297
PMC3527663,23182645,10.1016/j.nmd.2012.10.017
PMC3565510,23193046,10.1098/rsbl.2012.0927
PMC4409313,25909949,10.1371/journal.pone.0125053
PMC4721596,26794677,10.1371/journal.pone.0144873
PMC4885628,27274110,10.5604/20831862.1198636
PMC5565697,28549665,10.1016/j.niox.2017.05.005
PMC5471436,28576853,10.14814/phy2.13297
PMC5920001,29299669,10.1007/s00360-017-1142-1
PMC6132937,29876799,10.1007/s12574-018-0382-8
PMC6079116,30084226,10.14814/phy2.13816
PMC6135977,30237661,10.5114/biolsport.2018.70751
PMC6265911,30453511,10.3390/nu10111781
PMC6977409,31988750,10.1093/conphys/coz108
PMC7062717,32152432,10.1038/s41598-020-61199-5
PMC8196776,34064188,10.3390/ijerph18115535
PMC8227713,34070541,10.3390/nu13061799
PMC8525016,34663363,10.1186/s12970-021-00464-y
PMC7144051,32272973,10.1186/s12970-020-00347-8
PMC7482320,32134633,10.1021/acs.inorgchem.9b03747
PMC6413578,30899139,10.5114/biolsport.2018.78906
PMC5723401,29259560,10.3389/fphys.2017.01003
PMC5338542,28193888,10.1073/pnas.1619011114
PMC5674520,28161031,10.1016/j.cortex.2017.01.002
PMC4608805,26474292,10.1371/journal.pone.0140863
PMC3919112,24579086,10.1155/2014/748972
PMC1381303,1532321,10.1111/j.1365-2125.1992.tb04020.x
PMC1724259,11131234,10.1136/bjsm.34.6.450
PMC1724624,12663356,10.1136/bjsm.37.2.140
PMC1691409,12908985,10.1098/rspb.2003.2388
PMC2491725,15632682,10.1249/01.MSS.0000150084.97823.F7
PMC2565482,18581671,10.1080/10790268.2008.11760715
PMC2040445,17940006,10.1073/pnas.0708365104
PMC4082785,23846480,10.1007/s10616-013-9612-0
PMC3841834,23990240,10.1152/japplphysiol.00633.2013
PMC3634919,15115693,10.1016/j.cccn.2004.01.007
PMC4692404,26710100,10.1371/journal.pone.0145741
PMC4656917,26842513,10.4102/phcfm.v7i1.896
PMC4835079,27088872,10.1371/journal.pone.0153826
PMC5226792,28076413,10.1371/journal.pone.0168517
PMC5341371,28270174,10.1186/s13052-017-0347-y
PMC5930039,29559253,10.1016/j.cbpa.2018.03.006
PMC6114871,30157271,10.1371/journal.pone.0202815
PMC6416080,30414317,10.1111/apha.13217
PMC6484966,31040514,10.3138/ptc.2017-44.pp
PMC6546880,31191344,10.3389/fphys.2019.00640
PMC6794243,31506708,10.1007/s00221-019-05646-4
PMC6984780,31894256,10.3892/ijmm.2019.4435
PMC7025983,32067401,10.1002/cre2.254
PMC7291508,32527223,10.1186/s12877-020-01600-0
PMC7353445,32570892,10.3390/nu12061821
PMC8297535,32841100,10.1177/1358863X20945794
PMC7498695,33013469,10.3389/fphys.2020.01100
PMC7706668,33312301,10.2478/hukin-2020-0031
PMC7820350,33479374,10.1038/s41598-021-81565-1
PMC7957735,33804352,10.3390/ijerph18052371
PMC8077120,33904652,10.14814/phy2.14841
PMC8570217,34738941,10.1107/S160057752100905X
PMC9028776,35457635,10.3390/ijerph19084770
PMC5269410,28108645,10.14814/phy2.13108
PMC8877899,35206654,10.3390/ijerph19042463
PMC7078989,31841241,10.1002/cphc.201901113
PMC8882986,35237176,10.3389/fphys.2021.741317
PMC8894884,35250637,10.3389/fphys.2022.836814
PMC1160386,8021842,10.1113/jphysiol.1994.sp020077
PMC484692,9093044,10.1136/hrt.77.3.252
PMC1156837,8788932,10.1113/jphysiol.1995.sp021081
PMC1724908,15388552,10.1136/bjsm.2003.007815
PMC1725209,15849297,10.1136/bjsm.2004.015198
PMC1242434,1543402,10.1097/00000658-199203000-00014
PMC3230672,21875674,10.1016/j.neuroimage.2011.08.032
PMC3449013,22609636,10.1097/CEJ.0b013e328353ed81
PMC5749229,19561522,10.1097/HCR.0b013e3181ac7bcb
PMC4156313,24746669,10.1016/j.devcel.2014.03.012
PMC4000940,24812628,10.1155/2014/728289
PMC484042,7488450,10.1136/hrt.74.4.377
PMC3752599,21741606,10.1016/j.amjcard.2011.04.037
PMC3681550,23731674,10.1186/1471-2407-13-272
PMC3350561,22456505,10.1091/mbc.E11-11-0961
PMC2164944,17974033,10.1186/1550-2783-4-15
PMC5357083,28121185,10.1139/apnm-2016-0335
PMC5392423,28143781,10.1016/j.jid.2017.01.013
PMC2374881,18239932,10.1007/s00421-008-0684-z
PMC5408284,28438985,10.14814/phy2.13253
PMC3473259,22748015,10.1186/1755-8794-5-29
PMC3923455,24036384,10.1161/CIRCIMAGING.113.000565
PMC6073027,29575708,10.1002/ehf2.12285
PMC4269399,25517507,10.1371/journal.pone.0114418
PMC6359490,30669295,10.3390/sports7010025
PMC6439550,30725091,10.1001/jamacardio.2018.4847
PMC6801166,31520525,10.1002/acn3.50863
PMC4510625,26038470,10.14814/phy2.12423
PMC6892748,31849716,10.3389/fphys.2019.01472
PMC3830951,23863828,10.1097/NPT.0b013e3182a0a078
PMC7562913,33060749,10.1038/s41598-020-74557-0
PMC7773167,33105400,10.1097/JOM.0000000000002067
PMC7830131,33467423,10.3390/nu13010233
PMC8566025,33860476,10.1055/a-1403-2701
PMC8158296,34056587,10.3389/fspor.2021.653503
PMC8500507,34623923,10.1126/sciadv.abd7554
PMC6266470,30623033,10.1002/hsr2.14
PMC6423344,30886181,10.1038/s41598-019-40753-w
PMC7466197,32784754,10.3390/medicina56080395
PMC6397655,28051947,10.1086/689775
PMC8784266,35116126,10.4162/nrp.2022.16.1.33
PMC5462750,28592858,10.1038/s41598-017-02811-z
PMC5526966,28798697,10.3389/fphys.2017.00542
PMC5641383,29066977,10.3389/fphys.2017.00755
PMC6154903,30249285,10.1186/s13195-018-0429-0
PMC6780837,31438456,10.3390/medicina55090508
PMC6926534,31771132,10.3390/ijerph16234667
PMC8428944,31909474,10.5603/CJ.a2019.0110
PMC6975092,31969132,10.1186/s12883-020-1611-0
PMC7118007,32045515,10.7570/jomes19063
PMC1025223,8037993,10.1136/hrt.70.1.17
PMC1724230,10953899,10.1136/bjsm.34.4.268
PMC2278651,11410642,10.1111/j.1469-7793.2001.t01-2-00871.x
PMC2491943,16371494,10.1136/bjsm.2005.020198
PMC3240885,21946852,10.1113/jphysiol.2011.211979
PMC3369484,22701167,10.1155/2012/148729
PMC2891696,20509967,10.1186/1471-2466-10-33
PMC4400393,24821105,10.1093/gerona/glu065
PMC4323345,25668511,10.1371/journal.pone.0117088
PMC6452511,30961568,10.1186/s12887-019-1462-2
PMC7068562,32059577,10.3390/ijerph17041161
PMC7202981,32378338,10.14814/phy2.14409
PMC7418989,32780739,10.1371/journal.pone.0237010
PMC7551961,32947920,10.3390/nu12092832
PMC8040419,33859520,10.7150/ijms.55633
PMC8307583,34299853,10.3390/ijerph18147404
PMC8704793,34959912,10.3390/nu13124359
PMC8829013,35155627,10.3389/fcvm.2022.798149
PMC8910006,35270686,10.3390/ijerph19052993
PMC9028944,35455812,10.3390/healthcare10040634
PMC4584949,26441675,10.3389/fphys.2015.00256
PMC4908192,27048554,10.1007/s00360-016-0981-5
PMC4965461,27524970,10.3389/fphys.2016.00318
PMC5541969,28808493,10.4103/atm.ATM_364_16
PMC5876105,29243165,10.1007/s00520-017-4015-y
PMC5845014,29556201,10.3389/fphys.2018.00155
PMC6523597,30999588,10.3390/nano9040624
PMC7112189,32236147,10.1371/journal.pone.0230917
PMC7507089,32951313,10.14814/phy2.14586
PMC7993170,33880185,10.1136/bmjsem-2020-000907
PMC8289340,34287574,10.1590/1414-431X2020e10514
PMC9110468,35277735,10.1007/s00431-022-04434-7
